sensor0,sensor1,sensor2,target
843.8852385076382,300.9260048516097,843.9496721622205,199.9999999997325
823.5376617989753,297.86424896055433,822.5663141277322,200.00000091648235
837.0318404026382,301.01896116212396,834.7156037138359,200.00001242649958
847.4927966775571,301.65545622924265,848.4704866285113,199.99999906544804
857.3420630093808,350.9869824480643,860.3815907834783,199.99997191862633
856.5130315433692,341.2999208587403,856.2175142204804,200.00000002580768
851.1314347193021,327.95496825825916,854.3899277898279,199.99996540204694
852.4132619111621,313.1997151366076,849.4656496580116,200.00002561008733
844.6583867345842,299.94595472347413,846.0064921368564,199.99999754996918
844.0539138799554,299.0111461971265,841.5180874659758,200.00001630641773
844.4717356227353,301.318428921703,847.4077690681823,199.99997469053324
845.1018681907086,298.73852775978577,843.6136240714566,200.0000032962681
843.9137521665825,298.91187767459473,849.1177493699155,199.99985906749754
843.2885008788796,299.8715032274331,840.67709721783,200.00001780828208
839.0147921370273,300.5252309873094,839.9533816578383,199.9999991731493
846.9763853331035,301.4253532870655,841.0896557008226,200.00020399629017
846.1273543074101,302.0308634266158,849.1629348993145,199.99997202788518
845.9301209024986,297.94424374587413,847.0286411158432,199.9999986743644
847.468944989873,299.19848097456156,849.7332178946139,199.99998839122728
847.4418078007578,299.97692813170823,847.1272849121519,200.00000003111407
846.9903442003866,296.24350408035866,846.5368024010866,200.00000009329364
851.5797448350951,302.923513143733,849.4040946853905,200.00001029833896
844.553597030947,302.7588819836804,847.0507768681431,199.99998442781842
846.479989601566,302.7762895614616,849.0814898912143,199.99998239355656
845.3745583853898,298.626020636319,852.172848358641,199.99968580515525
848.2634537428003,299.79016146283595,849.7223518372833,199.99999689490514
847.6313857457252,298.74401708634196,847.6009338576072,200.00000000002825
847.9377537408182,300.9079623008698,845.7149188237449,200.00001098301635
849.9718590549211,299.4281969791821,845.5579792313005,200.0000859926858
845.1159621154925,300.3519469881419,845.1445508596048,199.99999999997664
840.7336809071043,299.1342857423877,845.373674093576,199.99990010309608
844.4978866682878,299.9719087220817,848.549585100162,199.99993348626435
843.9381622274864,300.5431213589351,841.1548299693715,200.00002156230371
840.4867366041481,300.25123177218427,847.3239346614497,199.99968037960664
844.231411764937,300.47381593028683,845.6312349132357,199.99999725703975
