sensor0,sensor1,sensor2,target
844.2665410041319,300.9260048516097,298.75075730390347,745.5157837002284
545.6469609287446,297.86424896055433,823.2070637447972,-77.56010281605256
837.4789190977785,301.01896116212396,835.7439365260798,201.73498257169877
848.3226387431986,301.65545622924265,372.3781693197754,675.9444694234232
858.840417793638,358.0183823057527,861.9323331271777,196.90808466646035
857.7176649388576,346.9108881085408,857.4471689189878,200.27049601986982
852.3250958019161,333.44967438617755,855.5861077907219,196.73898801119412
853.8788059332884,319.9016211249938,850.9177233006718,202.96108263261658
846.6523996867306,307.0935532212968,847.9762198033405,198.6761798833901
846.7733614072648,299.0111461971265,844.2059968207469,202.5673645865179
844.6727073194636,301.318428921703,847.5733720844913,197.09933523497227
845.198841935813,298.73852775978577,843.6751022212625,201.52373971455052
844.1253231647154,298.91187767459473,849.2928947160698,194.8324284486456
843.8052470876411,299.8715032274331,841.1585408295502,202.64670625809083
839.9832886382903,300.5252309873094,840.887731369598,199.09555726869235
848.4933036130809,301.4253532870655,842.5744909349489,205.91881267813199
848.2405198534277,304.26691832965525,303.8801497206093,744.3603701328184
847.4593310942647,299.8799854465677,848.5069516653057,198.95237942895903
848.4111505074782,300.7085978575272,850.6187865043051,197.79236400317302
847.9397437829898,301.4114379452595,847.566571454796,200.37317232819385
847.1408474565831,296.79248902506373,846.6278704021233,200.51297705445972
851.498980412679,302.4149414599331,849.2643588523139,202.2346215603651
844.477467496974,302.27559792810945,846.9173127765706,197.56015472040337
846.5365685628303,302.91174331789534,849.083556832975,197.45301172985535
845.6829006736414,299.916550244026,852.4300631297859,193.25283754385543
848.9275723904636,301.0918334276656,850.3393832644128,198.5881891260508
848.7331604919189,300.05271636822454,848.6595033234379,200.07365716848096
849.5330180544734,302.23860296716623,847.2708440405692,202.2621740139042
852.0805043975146,300.7413569914054,847.6309930868464,204.44951131066819
847.708189860177,301.5432698070361,847.7047936556544,200.00339620452257
843.7425637615432,300.05503605601336,301.05657349653296,742.6859902650103
847.8149338996177,300.39302738750536,851.8286356604077,195.98629823921
847.4386765900298,300.5431213589351,844.6103147685575,202.8283618214723
844.1947810328713,300.25123177218427,850.983734452552,193.21104658031936
848.1680562551974,300.8143505101592,849.5182331412637,198.64982311393362
846.8965173180634,301.0224963490642,850.6549356841474,196.24158163391598
847.017658635606,302.80090881869137,846.5099338640017,200.50772477160433
849.7657884909577,301.5041474128001,768.84502323428,280.92076525667767
849.4624612464122,299.460254615455,477.6141417166593,571.8483195297529
848.803265020277,302.68184183489603,843.0728640154238,205.7304010048532
851.1662298885813,303.52311669495293,798.5501603545471,252.61606953403418
845.5199040545734,299.68495192739294,845.2358853854549,200.2840186691185
848.3838888572413,299.81683706599097,579.9456220903727,468.43826676686865
